city,state,zipcode,name,open_now,place_id,price_level,rating,user_ratings_total,searched_keyword,searched_zipcode,location_lat,location_lng,compound_code,global_code,art_gallery,atm,bakery,bar,beauty_salon,bicycle_store,book_store,cafe,car_dealer,car_repair,car_wash,clothing_store,convenience_store,department_store,drugstore,electronics_store,establishment,finance,florist,food,funeral_home,furniture_store,gas_station,general_contractor,grocery_or_supermarket,hair_care,hardware_store,health,home_goods_store,jewelry_store,laundry,liquor_store,local_government_office,locksmith,lodging,meal_delivery,meal_takeaway,movie_rental,night_club,park,parking,pet_store,pharmacy,point_of_interest,premise,restaurant,school,shoe_store,shopping_mall,spa,storage,store,supermarket,tourist_attraction,travel_agency
New York,NY,10001,Juniper Bar,True,ChIJ5Z-4NaxZwokRF98-wGsCVDM,2.0,4.2,653,restaurant,10001,40.752344,-73.9914045,Q225+WC New York,87G8Q225+WC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
New York,NY,10001,Mustang Harry's,True,ChIJ6bXru69ZwokRQQ77x79D89M,2.0,4.4,1336,restaurant,10001,40.7483128,-73.9928029,P2X4+8V New York,87G8P2X4+8V,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
New York,NY,10001,Bean & Bean Chelsea,True,ChIJSzbFnLpZwokRbLnS40fKlpQ,2.0,4.2,502,coffee shops,10001,40.7470077,-73.9970077,P2W3+R5 New York,87G8P2W3+R5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
New York,NY,10001,Luna Coffee Shop,True,ChIJs7bqb69ZwokR6LkkSBCOb0c,1.0,4.4,298,coffee shops,10001,40.7472448,-73.9909873,P2W5+VJ New York,87G8P2W5+VJ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
New York,NY,10001,Idea Coffee,True,ChIJt8lZE6ZZwokRT18Q5owCz9I,2.0,4.4,321,coffee shops,10001,40.7446711,-73.9875491,P2V6+VX New York,87G8P2V6+VX,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
New York,NY,10001,Variety Coffee Roasters,True,ChIJ49KnM6VZwokRArJkBByO0Dc,,4.5,357,coffee shops,10001,40.745199,-73.99456169999999,P2W4+35 New York,87G8P2W4+35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
New York,NY,10001,Stumptown Coffee Roasters,True,ChIJT2h1HKZZwokR0kgzEtsa03k,2.0,4.6,1220,coffee shops,10001,40.7457399,-73.9882272,P2W6+7P New York,87G8P2W6+7P,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
New York,NY,10001,Gregorys Coffee,True,ChIJQTNrM69ZwokR3ggxzgeelqQ,2.0,4.2,857,coffee shops,10001,40.7477283,-73.9890832,P2X6+39 New York,87G8P2X6+39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
New York,NY,10001,Starbucks,True,ChIJpU_RVK5ZwokRmAtTNwJNDyQ,2.0,4.1,692,coffee shops,10001,40.7489883,-73.99236370000001,P2X5+H3 New York,87G8P2X5+H3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
New York,NY,10001,Bluestone Lane Hudson Yards Café,True,ChIJ0c8JBypZwokROmX6KEoMcgk,2.0,4.3,183,coffee shops,10001,40.7533936,-74.00105500000001,QX3X+9H New York,87G7QX3X+9H,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
New York,NY,10001,Caffe Bene,True,ChIJj6do4KhZwokR8_Uk7YNmd6E,2.0,3.7,799,coffee shops,10001,40.7481868,-73.98733829999999,P2X7+73 New York,87G8P2X7+73,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
New York,NY,10001,Starbucks,True,ChIJ6TaH-65ZwokRpYZRiYjjG7E,2.0,4.2,437,coffee shops,10001,40.749181,-73.990603,P2X5+MQ New York,87G8P2X5+MQ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
New York,NY,10001,Starbucks,True,ChIJFY4KLq9ZwokROL0kzgBIbgE,2.0,4.0,687,coffee shops,10001,40.748071,-73.989285,P2X6+67 New York,87G8P2X6+67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
New York,NY,10001,Starbucks,True,ChIJLdZLMKlZwokRFBdCWDlsJP0,2.0,3.8,110,coffee shops,10001,40.749267,-73.98951199999999,P2X6+P5 New York,87G8P2X6+P5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
