Zip (ZCTA),Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Per capita income in the past 12 months (in 2018 Inflation-adjusted dollars),Population,Population Density (square miles) ,Housing Units,Median Value of Owner-occupied Units
11418,"$66,570 ","$25,484 ","38,517","23,607.60","11,769","$522,500 "
11419,"$70,882 ","$23,360 ","49,618","44,324.60","13,338","$481,500 "
11420,"$67,932 ","$26,134 ","48,489","23,340.90","14,180","$478,000 "
11421,"$72,066 ","$26,377 ","41,002","31,780.50","12,746","$477,600 "
11422,"$89,235 ","$31,779 ","32,082","16,006.80","10,356","$438,900 "
11423,"$70,266 ","$29,814 ","31,400","22,185.50","10,499","$475,000 "
11426,"$88,803 ","$34,168 ","20,801","15,418.10","6,584","$542,700 "
11427,"$74,581 ","$32,689 ","24,037","15,203.60","7,983","$488,000 "
11428,"$73,699 ","$26,603 ","18,929","22,762.20","5,973","$472,200 "
11429,"$83,240 ","$28,107 ","27,403","21,179.70","7,752","$434,500 "
11432,"$55,906 ","$25,157 ","62,053","28,870.20","20,030","$583,900 "
11433,"$51,521 ","$21,593 ","36,489","23,550.90","11,574","$411,500 "
11434,"$62,207 ","$26,629 ","65,791","20,129.50","22,575","$402,400 "
11435,"$64,086 ","$26,826 ","59,296","38,792.20","19,742","$393,300 "
11436,"$75,242 ","$28,190 ","20,077","25,310.90","6,008","$396,600 "
11691,"$46,147 ","$21,531 ","67,094","24,372.60","22,126","$462,500 "
11692,"$44,024 ","$22,072 ","20,991","20,937.30","7,411","$381,900 "
11693,"$59,431 ","$30,940 ","12,919","13,101.50","5,453","$310,800 "
11694,"$80,976 ","$45,846 ","21,354","15,980.50","9,492","$651,300 "
11697,"$103,580 ","$51,177 ","3,540","1,363.90","2,553","$570,900 "
