Zip (ZCTA),State,County,City,Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Margin of Error,Per capita income in the past 12 months (in 2018 Inflation-adjusted dollars),Margin of Error,Population,Population Density (square miles) ,Housing Units,Median Value of Owner-occupied Units
11362,New York,Queens,New York,"$89,185 ","$6,021 ","$41,235 ","$2,608 ","18,721","7,397.8","7,484","$521,500 "
11363,New York,Queens,New York,"$104,792 ","$17,677 ","$51,363 ","$4,916 ","6,952","8,081.9","2,737","$809,800 "
11364,New York,Queens,New York,"$76,988 ","$3,108 ","$37,342 ","$1,603 ","36,806","14,915.3","14,231","$538,900 "
11365,New York,Queens,New York,"$66,483 ","$5,298 ","$30,662 ","$1,923 ","44,983","18,002.2","16,238","$661,800 "
11366,New York,Queens,New York,"$78,990 ","$15,106 ","$33,892 ","$2,265 ","14,650","13,403.3","5,028","$729,200 "
11367,New York,Queens,New York,"$57,933 ","$5,390 ","$27,930 ","$1,412 ","41,824","17,756.9","15,802","$479,700 "
11368,New York,Queens,New York,"$50,797 ","$2,489 ","$17,595 ",$610 ,"112,425","42,754.6","30,734","$532,800 "
11369,New York,Queens,New York,"$54,121 ","$3,234 ","$22,638 ",$848 ,"34,118","31,291.4","12,931","$567,000 "
11370,New York,Queens; Bronx,New York,"$65,098 ","$6,457 ","$24,012 ","$2,504 ","32,514","21,817.0","10,406","$671,400 "
11372,New York,Queens,New York,"$56,383 ","$4,117 ","$30,059 ","$1,500 ","61,844","83,481.2","26,057","$325,000 "
11373,New York,Queens,New York,"$51,183 ","$1,925 ","$22,873 ",$824 ,"93,967","61,733.7","33,886","$545,500 "
11374,New York,Queens,New York,"$63,161 ","$2,874 ","$37,825 ","$1,867 ","42,653","45,228.0","20,974","$361,400 "
11375,New York,Queens,New York,"$80,542 ","$3,137 ","$49,852 ","$1,761 ","73,488","36,942.9","35,281","$395,100 "
11377,New York,Queens,New York,"$57,010 ","$1,993 ","$27,309 ",$824 ,"86,421","34,068.8","33,753","$528,700 "
11378,New York,Queens,New York,"$73,333 ","$2,326 ","$32,412 ","$1,552 ","37,279","14,466.8","13,871","$605,300 "
11379,New York,Queens,New York,"$82,819 ","$4,751 ","$36,661 ","$1,559 ","37,851","18,243.3","14,614","$646,300 "
11385,New York,Queens,New York,"$72,261 ","$2,180 ","$29,257 ",$760 ,"106,717","29,513.3","38,325","$581,900 "
11411,New York,Queens,New York,"$93,882 ","$4,156 ","$35,141 ","$1,520 ","20,759","17,772.7","6,482","$432,300 "
11412,New York,Queens,New York,"$78,517 ","$4,508 ","$30,304 ","$1,214 ","37,458","22,742.1","11,871","$427,200 "
11413,New York,Queens,New York,"$86,324 ","$3,916 ","$31,398 ","$1,264 ","42,443","13,672.9","13,115","$446,800 "
11414,New York,Queens,New York,"$71,648 ","$9,507 ","$37,839 ","$3,199 ","29,219","12,637.7","11,409","$504,300 "
11415,New York,Queens,New York,"$68,294 ","$3,675 ","$39,619 ","$3,470 ","19,372","34,228.7","9,521","$348,100 "
11416,New York,Queens,New York,"$67,461 ","$7,542 ","$22,831 ",$947 ,"27,125","40,992.1","7,768","$524,900 "
11417,New York,Queens,New York,"$73,424 ","$4,228 ","$26,359 ","$1,250 ","31,927","28,529.5","9,764","$481,900 "
11418,New York,Queens,New York,"$66,570 ","$4,296 ","$25,484 ","$1,121 ","38,517","23,607.6","11,769","$522,500 "
