zipcode,total_art_gallery,total_atm,total_bakery,total_bar,total_beauty_salon,total_bicycle_store,total_book_store,total_cafe,total_car_dealer,total_car_repair,total_car_wash,total_clothing_store,total_convenience_store,total_department_store,total_drugstore,total_electronics_store,total_finance,total_florist,total_food,total_funeral_home,total_furniture_store,total_gas_station,total_general_contractor,total_grocery_or_supermarket,total_hair_care,total_hardware_store,total_health,total_home_goods_store,total_jewelry_store,total_laundry,total_liquor_store,total_local_government_office,total_locksmith,total_lodging,total_meal_delivery,total_meal_takeaway,total_movie_rental,total_night_club,total_park,total_parking,total_pet_store,total_pharmacy,total_restaurant,total_school,total_shoe_store,total_shopping_mall,total_spa,total_storage,total_store,total_supermarket,total_tourist_attraction,total_travel_agency,total_open_now_False,total_open_now_True,total_open_now_nan,mean_price_level,population,population_density_square_miles,housing_units,home_price_to_income_ratios,price_level*rating,rating_weighed_population_density,log_mean_user_ratings_total,log_mean_rating,log_user_ratings_total_per_capita
11106,0,0,8,4,0,0,0,15,0,0,0,4,7,1,3,1,0,0,41,0,2,0,0,4,0,2,3,5,1,0,3,0,0,0,2,0,0,0,0,0,0,0,25,0,0,0,0,0,32,1,0,0,2,47,1,1.625,38363,44876.4,19074,8.969750247241102,6.919249999999998,191083.71119999996,5.509631222108668,1.4487995664712876,-5.045217510295808
11415,0,0,2,2,0,0,1,7,0,1,0,0,4,0,1,0,0,0,34,0,0,0,0,4,0,0,2,1,0,0,2,0,0,0,7,2,0,0,0,0,0,0,19,0,1,0,0,0,23,2,0,0,6,34,1,1.4583333333333333,19372,34228.7,9521,5.097080270594781,5.954268292682925,139753.27756097558,5.310679661908677,1.406814091351067,-4.560904341614443
10023,0,0,5,11,0,0,0,20,0,0,0,4,4,1,1,3,0,1,54,0,1,0,1,1,0,2,3,3,0,0,4,0,0,0,3,2,0,0,0,0,0,1,34,0,0,0,0,0,40,1,0,0,3,62,1,1.981818181818182,62435,127409.5,41492,8.620028822862048,8.440743801652895,542648.6431818183,6.004410686073509,1.4490557358860607,-5.037470608475736
11214,0,0,6,2,0,0,0,17,0,1,0,4,4,1,3,5,0,0,40,0,3,0,0,2,0,3,3,7,0,0,1,0,0,0,7,1,0,0,0,0,0,1,29,0,0,0,0,0,35,0,0,0,3,52,0,1.5128205128205128,92946,42853.4,33770,13.164079125108714,6.136550116550117,173828.97345454548,5.930314218950362,1.4002869162060159,-5.509459739384056
10044,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,8,0,0,0,0,0,4,0,0,0,0,12,0,1.6666666666666667,11682,50775.4,5427,6.8896167899562935,7.000000000000001,213256.68000000002,4.835620312484739,1.4350845252893227,-4.530184162115515
11429,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,13,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,2,14,2,1.5,27403,21179.7,7752,5.2198462277751085,5.708333333333333,80600.525,4.7483080659799475,1.336461987372015,-5.47009970945382
11697,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,0,0,8,1,0,1,6,5,3,1.6666666666666667,3540,1363.9,2553,5.511681791851709,7.190476190476191,5884.254285714286,4.227875954846623,1.4619317753255106,-3.944006051281197
10032,0,1,4,4,0,0,1,13,0,0,0,0,2,0,2,2,1,0,38,0,0,0,0,4,0,3,2,1,0,0,3,0,0,0,9,2,0,0,0,0,0,0,26,0,0,0,0,0,31,2,0,0,3,47,1,1.53125,64264,98152.9,22574,9.91446885356512,6.19705882352941,397230.5599999999,5.248364762300974,1.3979904008830817,-5.8223901155526745
10463,0,0,5,9,0,0,0,14,0,0,0,4,5,2,5,2,0,0,42,0,5,0,0,4,0,3,5,6,1,0,0,0,0,0,11,2,0,0,0,0,0,1,28,0,0,1,0,1,32,1,0,0,3,49,1,1.6976744186046508,71360,49208.9,29973,4.908541271711841,6.90921456779289,200270.93830188678,6.003421083873503,1.4035966398429889,-5.172071683380388
10017,0,0,2,9,0,0,0,20,0,0,0,5,7,0,5,6,1,0,49,0,1,0,0,0,0,1,5,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0,0,40,0,0,0,2,57,1,2.2978723404255317,15801,49849.9,12650,4.998196163317805,9.344680851063828,202722.92666666667,6.39579011730048,1.402823663071101,-3.2720383908510184
