Zip (ZCTA),Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Population,Population Density (square miles) ,Housing Units,Median Value of Owner-occupied Units
91706,"$62,161 ","77,342","5,757.30","19,150","$380,800 "
91711,"$97,593 ","36,854","2,455.00","12,803","$645,400 "
91722,"$77,459 ","35,708","8,644.10","10,290","$419,500 "
91723,"$64,583 ","18,875","8,126.60","6,439","$453,900 "
91724,"$83,598 ","26,091","4,184.80","8,362","$509,100 "
91731,"$39,383 ","30,139","7,899.60","8,732","$429,700 "
91732,"$51,899 ","63,572","13,770.40","16,565","$431,900 "
91733,"$45,519 ","44,968","6,733.20","11,550","$418,000 "
91740,"$82,447 ","26,115","5,245.80","8,681","$472,800 "
91741,"$105,874 ","26,565","1,791.60","9,320","$656,900 "
91744,"$66,278 ","87,240","9,925.40","19,464","$390,300 "
91745,"$84,224 ","54,975","4,292.20","17,066","$570,600 "
91746,"$68,254 ","30,708","5,513.40","6,908","$421,400 "
91748,"$71,000 ","47,084","3,254.60","14,182","$609,600 "
91750,"$86,352 ","33,836","1,340.30","12,292","$568,300 "
91754,"$60,261 ","33,058","7,290.00","12,163","$593,900 "
91755,"$52,624 ","27,734","8,927.30","9,141","$592,600 "
91765,"$97,968 ","47,139","2,491.70","15,499","$643,200 "
91767,"$57,521 ","50,264","8,940.40","14,686","$364,800 "
91768,"$51,149 ","35,389","4,091.40","8,312","$357,400 "
91770,"$53,506 ","63,425","9,875.00","18,014","$523,200 "
91773,"$84,355 ","34,496","2,411.80","12,181","$545,600 "
91775,"$82,598 ","25,192","8,211.40","8,664","$761,900 "
91776,"$54,131 ","38,410","11,280.70","12,595","$601,000 "
91780,"$68,456 ","35,351","9,238.40","11,827","$687,600 "
91789,"$99,398 ","44,474","2,844.80","13,948","$707,600 "
91790,"$79,926 ","45,206","7,831.30","12,788","$473,200 "
91791,"$80,890 ","34,363","5,179.30","10,628","$566,600 "
91792,"$77,333 ","29,839","7,766.30","9,079","$461,900 "
91801,"$55,832 ","54,479","12,501.40","21,137","$577,000 "
91803,"$60,394 ","30,385","9,303.10","10,222","$589,700 "
93510,"$102,563 ","7,626",106,"2,888","$536,700 "
93532,"$62,932 ","2,871",25.3,"1,186","$264,700 "
93534,"$39,906 ","39,088","2,203.20","15,929","$204,200 "
93535,"$43,929 ","72,948",282.8,"23,329","$181,900 "
93536,"$75,380 ","72,383",298.2,"23,100","$305,100 "
93543,"$48,542 ","15,135",254.8,"3,997","$237,300 "
93544,"$44,156 ","1,181",10.8,682,"$227,200 "
93550,"$41,675 ","77,006",392.6,"23,396","$210,100 "
93551,"$92,500 ","51,085",698.4,"17,040","$346,600 "
93552,"$63,261 ","40,266",830.7,"10,802","$241,300 "
93553,"$57,833 ","1,781",20.6,724,"$232,700 "
93563,"$82,656 ",408,10.2,140,"$304,000 "
93591,"$46,258 ","6,579",79.8,"2,145","$174,200 "
