Zip (ZCTA),Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Population,Population Density (square miles) ,Housing Units,Median Value of Owner-occupied Units
11933,"$64,042 ","7,302",263.4,"3,995","$350,000 "
11934,"$93,512 ","8,006","1,712.90","2,758","$371,500 "
11935,"$94,221 ","3,199",313.4,"2,212","$551,300 "
11937,"$101,723 ","15,984",372.6,"13,340","$802,300 "
11939,"$80,694 ",954,426.2,"1,119","$625,800 "
11940,"$102,397 ","5,404",977.4,"2,142","$431,400 "
11941,"$109,545 ","2,004",815.7,793,"$497,500 "
11942,"$86,890 ","4,597",530.9,"3,054","$560,500 "
11944,"$61,250 ","4,121","1,011.60","2,789","$484,300 "
11946,"$79,516 ","15,145","1,132.20","8,655","$466,200 "
11948,"$132,813 ",922,339.1,771,"$539,700 "
11949,"$95,851 ","14,863",430.9,"5,311","$417,500 "
11950,"$79,149 ","15,884","3,851.30","4,950","$235,100 "
11951,"$66,057 ","12,391","1,846.00","5,129","$210,300 "
11952,"$92,045 ","4,841",512.2,"2,752","$568,800 "
11953,"$72,733 ","13,401","1,307.60","5,603","$277,000 "
11954,"$95,278 ","3,655",197.5,"4,631","$890,200 "
11955,"$62,105 ","3,785","1,319.10","1,919","$384,600 "
11956,"$64,917 ",212,167.2,288,"$753,300 "
11957,"$70,250 ",782,120.9,899,"$803,800 "
11959,"$72,917 ",784,204.3,"1,571","$1,046,900 "
11960,"$87,159 ",696,368.7,"1,090","$817,700 "
11961,"$65,600 ","13,330","1,036.80","6,105","$279,300 "
11962,"$117,500 ",309,56.4,907,"$2,000,001 "
11963,"$88,686 ","7,430",550.7,"5,950","$865,400 "
11964,"$82,686 ","2,054",219.1,"2,358","$850,000 "
11965,"$120,772 ",690,244.2,910,"$814,400 "
11967,"$83,644 ","27,649","2,440.90","8,782","$262,500 "
11968,"$92,500 ","10,667",394.6,"9,552","$890,900 "
11971,"$80,771 ","6,235",563.4,"4,275","$563,700 "
11972,"$100,833 ","1,171",486.3,613,"$522,300 "
11975,"$141,000 ",223,78.3,699,"$1,684,800 "
11976,"$112,379 ","1,996",162.6,"2,161","$1,582,900 "
11977,"$112,917 ","2,455",428.5,"1,754","$785,400 "
11978,"$100,043 ","3,058",242.6,"3,860","$642,700 "
11980,"$96,983 ","5,604",427.3,"1,871","$300,700 "
12008,"$94,028 ",609,732.5,197,"$225,000 "
12009,"$88,958 ","8,036",153.9,"3,165","$257,100 "
12010,"$46,360 ","28,221",215.9,"13,723","$112,100 "
12015,"$61,607 ","3,006",225,"1,487","$174,300 "
12017,"$71,429 ",376,18.8,319,"$261,500 "
12018,"$89,577 ","7,324",164.4,"3,319","$214,400 "
12019,"$99,844 ","14,429",489.1,"6,195","$283,200 "
12020,"$80,952 ","33,456",444.9,"14,615","$227,900 "
12022,"$54,000 ",591,18.3,390,"$147,900 "
12023,"$72,411 ","2,134",37.1,"1,016","$182,700 "
12025,"$63,981 ","5,404",149,"3,166","$156,100 "
12027,"$101,058 ","3,815",531.7,"1,552","$268,800 "
12028,"$67,448 ",929,41.2,335,"$162,100 "
12029,"$92,500 ","1,104",55,724,"$286,000 "
12032,"$48,750 ",853,9.6,"1,302","$134,100 "
12033,"$77,340 ","7,924",293.7,"3,289","$216,000 "
12035,"$37,692 ",856,137.4,370,"$86,600 "
12036,"$42,222 ",224,30.2,200,"$114,600 "
12037,"$57,841 ","4,444",144.1,"2,381","$220,800 "
12040,"$40,833 ",163,124.8,77,"$92,900 "
12041,"$90,347 ",638,403.3,237,"$163,200 "
12042,"$46,250 ",196,45.1,130,"$147,100 "
12043,"$51,408 ","8,171",132.3,"3,445","$149,100 "
12045,"$51,161 ",475,647.2,270,"$137,500 "
12046,"$84,650 ","1,025",66.8,431,"$201,100 "
12047,"$56,372 ","20,935","2,371.00","10,197","$175,900 "
12051,"$67,906 ","6,421",301.1,"2,001","$171,400 "
12052,"$75,000 ","1,597",52.7,792,"$181,500 "
12053,"$88,438 ","4,621",74.7,"1,596","$221,100 "
12054,"$103,424 ","16,649","1,077.70","7,010","$264,100 "
12056,"$88,269 ","2,743",152.3,994,"$208,600 "
12057,"$61,875 ","2,036",57.9,885,"$178,200 "
12058,"$65,875 ","1,656",86.1,806,"$213,600 "
12059,"$79,081 ","1,657",63.9,"1,024","$234,300 "
12060,"$75,469 ","1,551",45,"1,012","$245,900 "
12061,"$93,364 ","9,325",463.3,"3,964","$244,100 "
12062,"$72,115 ","1,730",59.7,828,"$178,000 "
12063,"$77,981 ",400,280.7,161,"$193,300 "
12064,"$59,722 ",380,33.2,361,"$86,900 "
12065,"$90,544 ","42,868","1,228.50","18,687","$268,600 "
12066,"$64,896 ","1,784",53,974,"$154,200 "
12067,"$86,071 ","1,635",76.4,624,"$229,600 "
12068,"$62,074 ","3,083",100.1,"1,468","$127,000 "
12069,"$40,625 ",213,374.5,128,"$125,300 "
12070,"$53,654 ","1,860",151.9,712,"$112,200 "
12071,"$52,625 ",398,43.1,226,"$120,800 "
12072,"$53,542 ","2,884",59.9,"1,196","$112,000 "
12074,"$81,141 ","2,895",81.2,"1,475","$233,600 "
12075,"$65,144 ","2,850",72.5,"1,407","$216,100 "
12076,"$58,958 ","1,514",20.2,"1,520","$139,100 "
12077,"$99,662 ","6,823",676.5,"2,928","$291,200 "
12078,"$43,135 ","23,381",215.5,"12,379","$89,900 "
12083,"$79,419 ","3,760",87.2,"1,791","$178,100 "
12084,"$75,930 ","4,959","1,374.80","2,306","$269,400 "
12086,"$59,091 ","1,505",248.4,892,"$154,000 "
12087,"$74,167 ","1,053",53.5,356,"$122,400 "
12090,"$52,804 ","6,139",107.7,"2,941","$134,800 "
12092,"$36,701 ",706,47.2,513,"$109,400 "
12093,"$51,481 ","1,632",24.7,"1,297","$157,600 "
12094,"$83,432 ","2,550",90.3,"1,063","$175,500 "
12095,"$52,541 ","12,228",201.6,"5,334","$103,700 "
12106,"$73,300 ","2,427",166.5,"1,318","$238,200 "
12108,"$70,893 ",395,2.8,971,"$258,300 "
12110,"$79,107 ","22,041","1,500.70","7,823","$242,700 "
12116,"$46,000 ","1,666",43.3,"1,138","$106,100 "
12117,"$53,091 ","3,094",69,"2,169","$144,800 "
12118,"$73,091 ","15,218",482,"7,163","$260,300 "
12120,"$57,917 ",623,35.6,389,"$200,700 "
12121,"$74,009 ","1,597",77.5,619,"$205,300 "
12122,"$49,289 ","4,313",39.9,"2,868","$121,900 "
12123,"$93,092 ","5,492",168.3,"2,390","$208,200 "
12124,"$62,885 ",675,256.1,328,"$199,700 "
12125,"$53,750 ","1,385",77.2,863,"$175,600 "
12131,"$58,750 ",85,12,76,"$171,900 "
12132,"$51,767 ",267,143.6,134,"$290,400 "
12134,"$57,153 ","4,186",21.7,"3,002","$164,000 "
12136,"$72,917 ",699,38.5,304,"$357,600 "
12137,"$64,750 ","1,762",73.4,765,"$186,900 "
12138,"$57,972 ","3,300",41.1,"1,922","$158,100 "
12139,"$60,000 ",156,0.7,768,"$187,500 "
12140,"$97,639 ","1,552",187.3,691,"$208,600 "
12143,"$59,159 ","4,800",247.9,"2,294","$177,400 "
12144,"$69,025 ","20,272","1,070.70","9,668","$179,000 "
12147,"$67,500 ",529,26.9,337,"$241,100 "
12148,"$116,279 ","4,414",282.1,"1,916","$340,700 "
12149,"$56,169 ","2,388",51.1,"1,363","$152,600 "
12150,"$69,432 ",895,822.3,374,"$145,900 "
12151,"$93,295 ",792,305.7,378,"$213,900 "
12153,"$98,750 ","1,027",57,522,"$300,000 "
12154,"$71,875 ","2,807",67.4,"1,243","$190,300 "
12155,"$50,288 ","1,809",31.8,"1,123","$117,700 "
12156,"$89,833 ","1,151",80.2,429,"$303,600 "
12157,"$60,317 ","4,228",97,"1,925","$160,700 "
12158,"$84,180 ","6,852",224,"2,754","$218,800 "
12159,"$91,193 ","7,845",556.8,"3,547","$340,400 "
12160,"$70,278 ",872,49.2,363,"$150,500 "
12164,"$66,458 ",347,7.5,562,"$152,300 "
12165,"$108,250 ",191,59.2,121,"$356,300 "
12166,"$40,089 ","1,193",27.2,629,"$117,200 "
12167,"$44,839 ","2,737",59.9,"1,597","$142,200 "
12168,"$68,510 ","2,053",58.8,"1,105","$144,300 "
12169,"$99,896 ",222,23.3,105,"$168,100 "
12170,"$71,591 ","5,061",168,"2,104","$222,100 "
12172,"$44,313 ",271,575.2,156,"$159,400 "
12173,"$73,958 ","2,100",122.1,839,"$163,900 "
12174,"$86,000 ",316,274.9,139,"$171,900 "
12175,"$57,188 ",570,25.8,443,"$142,700 "
12176,"$75,288 ",517,155.4,216,"$188,300 "
12177,"$58,250 ",305,495.4,280,"$115,600 "
12180,"$53,007 ","53,437",973.4,"24,637","$172,500 "
12182,"$47,021 ","14,928","1,086.40","7,048","$145,500 "
12183,"$53,454 ","2,591","3,467.90","1,355","$130,100 "
12184,"$74,132 ","6,871",178.3,"3,153","$229,800 "
12185,"$67,917 ","2,262",93.1,933,"$210,100 "
12186,"$102,052 ","6,047",191.2,"2,754","$253,800 "
12187,"$51,050 ",598,26,395,"$176,000 "
12188,"$67,405 ","10,952",843.8,"5,072","$215,100 "
12189,"$51,748 ","17,563","2,756.40","9,059","$170,500 "
12190,"$57,778 ",851,4.8,754,"$161,700 "
12192,"$85,212 ","1,954",113.8,824,"$160,000 "
12193,"$78,295 ","1,828",47,"1,018","$179,400 "
12194,"$41,667 ",121,7.8,119,"$86,000 "
12195,"$35,625 ",121,61.9,71,"$227,200 "
12196,"$91,890 ","3,371",381.3,"1,340","$222,600 "
12197,"$46,964 ","2,023",30.2,"1,283","$127,800 "
12198,"$76,962 ","7,772",593.3,"3,151","$198,400 "
12202,"$29,229 ","9,624","4,704.80","5,606","$98,900 "
12203,"$59,394 ","31,251","2,739.40","14,511","$207,900 "
12204,"$51,923 ","7,628","1,875.50","3,910","$180,200 "
12205,"$69,411 ","27,212","1,719.80","11,895","$206,900 "
12206,"$30,870 ","15,944","7,503.80","7,943","$103,900 "
12207,"$15,815 ","1,688","1,596.50","1,068","$156,600 "
12208,"$62,758 ","21,896","5,217.70","10,918","$196,600 "
12209,"$52,636 ","9,383","4,382.00","4,684","$157,900 "
12210,"$45,922 ","9,706","10,821.70","6,722","$156,100 "
12211,"$100,353 ","10,752","1,357.30","4,321","$290,600 "
12302,"$73,940 ","27,407",647.2,"12,047","$181,500 "
12303,"$66,436 ","28,233","1,835.50","12,988","$177,400 "
12304,"$49,464 ","22,833","3,349.10","10,102","$122,200 "
12305,"$31,982 ","5,059","3,340.90","3,303","$130,800 "
12306,"$66,687 ","26,599",617.3,"11,448","$162,900 "
12307,"$21,719 ","6,115","8,631.60","3,577","$81,100 "
12308,"$50,162 ","15,422","6,836.70","7,300","$126,000 "
12309,"$107,823 ","30,397","1,834.90","11,804","$245,800 "
12401,"$52,784 ","35,339",604.7,"16,376","$184,300 "
12404,"$62,422 ","3,306",92.6,"2,183","$255,900 "
12405,"$54,750 ",652,91.3,338,"$222,000 "
12406,"$40,880 ",922,21.3,677,"$187,500 "
12407,"$37,404 ",137,40.7,158,"$237,500 "
12409,"$90,643 ",771,54,534,"$364,100 "
12411,"$72,125 ",389,415.1,203,"$244,500 "
12412,"$68,470 ",562,92.6,471,"$224,400 "
12413,"$45,159 ","2,815",172.2,"1,531","$149,800 "
12414,"$39,625 ","10,203",171.2,"5,474","$166,400 "
12416,"$25,800 ",281,55.3,224,"$286,500 "
12418,"$67,500 ",573,41.5,414,"$178,000 "
12419,"$59,231 ",540,225.5,305,"$250,000 "
12422,"$130,313 ",307,30.1,251,"$180,100 "
12423,"$44,241 ","1,089",85.6,677,"$200,500 "
12424,"$72,625 ",276,15.5,445,"$179,200 "
12428,"$46,571 ","7,022",130.1,"3,351","$141,500 "
12430,"$52,971 ","1,147",28.9,"1,163","$216,400 "
12431,"$51,250 ","1,129",73,726,"$175,500 "
12432,"$52,813 ",431,719.8,226,"$205,000 "
12433,"$65,847 ",549,143.7,365,"$273,300 "
12434,"$35,114 ",754,54.8,519,"$97,500 "
12435,"$42,778 ",308,30.9,196,"$266,700 "
12439,"$33,833 ",290,37,514,"$182,200 "
12440,"$70,227 ","1,999",86.5,974,"$277,300 "
12442,"$25,598 ",785,23.7,"1,626","$202,000 "
12443,"$93,712 ","3,378",187.5,"1,876","$228,300 "
12444,"$57,917 ",486,31.5,676,"$244,400 "
12446,"$59,472 ","4,902",72.2,"2,745","$228,900 "
12448,"$123,807 ",464,39.8,370,"$417,600 "
12449,"$52,826 ","3,433",948,"1,356","$177,800 "
12451,"$59,725 ","1,536",130.1,597,"$150,800 "
12453,"$36,923 ",291,589.9,222,"$360,000 "
12454,"$62,083 ",363,32.6,324,"$234,800 "
12455,"$44,550 ","1,749",22.8,"1,872","$193,100 "
12456,"$58,611 ",851,"1,575.30",243,"$134,100 "
12457,"$51,875 ",893,63.9,618,"$262,800 "
12458,"$44,539 ","2,804",86.7,"1,294","$112,300 "
12460,"$26,850 ",373,180.8,194,"$132,100 "
12461,"$66,739 ","1,718",71.9,904,"$243,600 "
12463,"$77,542 ","1,594",147.3,830,"$185,900 "
12464,"$40,145 ",653,14.8,773,"$227,100 "
12465,"$56,500 ",199,68.9,386,"$246,200 "
12466,"$72,031 ","2,402","2,314.30","1,086","$211,700 "
12468,"$50,417 ","1,069",24.5,806,"$180,900 "
12469,"$47,917 ",605,17.8,629,"$158,700 "
12470,"$61,420 ",480,49.1,286,"$149,200 "
12472,"$67,857 ","1,472",412.4,777,"$203,800 "
12473,"$46,563 ",785,52.3,497,"$168,900 "
12474,"$49,464 ","1,082",24.5,870,"$143,800 "
12477,"$60,279 ","18,162",275.8,"8,751","$215,300 "
12481,"$54,769 ","1,398",111.7,665,"$249,600 "
12482,"$42,016 ",369,166.9,282,"$43,100 "
12484,"$64,155 ","2,671",112.3,"1,386","$291,300 "
12485,"$52,216 ","1,502",179,"1,300","$248,400 "
12486,"$98,264 ","1,558",459.3,630,"$229,800 "
12487,"$64,545 ","3,483",221.8,"1,427","$190,200 "
12491,"$70,345 ","1,535",170.8,777,"$221,600 "
12492,"$50,938 ",210,5.5,326,"$213,900 "
12493,"$78,359 ",233,33.8,188,"$178,700 "
12494,"$91,544 ",628,33.5,578,"$291,300 "
12495,"$168,214 ",182,19.9,232,"$618,600 "
12496,"$63,365 ","1,463",31,"2,245","$231,500 "
12498,"$72,768 ","5,005",229.6,"3,314","$289,900 "
12501,"$65,278 ","2,719",89,"1,140","$273,100 "
12502,"$78,098 ","1,223",37.4,808,"$324,500 "
12503,"$69,706 ",520,24.7,515,"$346,900 "
12507,"$57,386 ",236,169.4,81,"$463,600 "
12508,"$76,599 ","19,747","1,356.00","8,075","$262,800 "
12513,"$63,571 ",354,121.2,160,"$205,000 "
12514,"$108,149 ","2,905",109,"1,393","$344,100 "
12516,"$78,684 ","1,640",107.5,"1,004","$263,300 "
12518,"$77,861 ","5,988",603.5,"2,640","$314,200 "
12520,"$105,435 ","2,947",745.5,"1,060","$311,500 "
12521,"$85,250 ","1,431",43.5,"1,354","$248,900 "
12522,"$51,419 ","4,833",129.3,"2,215","$234,600 "
12523,"$69,271 ","1,512",69.1,878,"$255,300 "
12524,"$81,616 ","15,964",984.5,"6,378","$282,500 "
12525,"$77,147 ","2,858",121.6,"1,277","$307,500 "
12526,"$76,417 ","3,639",113.7,"1,945","$295,800 "
12528,"$70,451 ","12,871",312.2,"5,645","$248,000 "
12529,"$69,018 ","2,730",41.4,"1,875","$261,000 "
12531,"$101,875 ","3,323",190,"1,362","$291,200 "
12533,"$102,848 ","25,406",522.6,"9,592","$342,000 "
12534,"$48,878 ","17,967",206.6,"9,220","$194,400 "
12538,"$74,323 ","13,996",530.6,"5,323","$221,900 "
12540,"$115,821 ","8,071",236.9,"2,942","$344,500 "
12542,"$73,302 ","5,537",386.8,"2,587","$250,900 "
12543,"$60,769 ","3,395",295.6,"1,537","$176,700 "
12545,"$88,715 ","4,750",87.7,"2,496","$374,400 "
12546,"$58,500 ","2,815",61.7,"1,646","$245,000 "
12547,"$93,813 ","2,899",280.1,"1,181","$221,500 "
12548,"$56,369 ","1,213",206.6,593,"$252,900 "
12549,"$91,386 ","11,235",289.5,"4,106","$276,900 "
12550,"$59,143 ","54,988","1,583.60","22,302","$230,500 "
12553,"$78,398 ","26,465","1,072.80","10,150","$251,600 "
12561,"$66,148 ","18,731",314.8,"7,328","$295,100 "
12563,"$91,729 ","8,555",374.9,"2,800","$310,200 "
12564,"$89,688 ","6,995",172.2,"3,036","$312,500 "
12565,"$39,914 ","1,165",802.7,693,"$153,100 "
12566,"$75,856 ","11,003",202.3,"4,476","$250,500 "
12567,"$62,750 ","2,951",64.3,"1,575","$260,500 "
12569,"$80,322 ","10,268",310.8,"4,334","$270,100 "
12570,"$101,214 ","7,322",340.9,"2,657","$328,500 "
12571,"$78,641 ","9,999",172.7,"4,532","$295,900 "
12572,"$72,243 ","8,596",169.9,"4,185","$365,100 "
12575,"$134,179 ","2,028",205,828,"$344,900 "
12577,"$133,864 ","1,972",335.9,663,"$294,100 "
12578,"$116,705 ","2,206",140.9,933,"$315,800 "
12580,"$69,554 ","4,434",205.7,"1,879","$249,400 "
12581,"$75,139 ","2,313",57.2,"1,284","$276,900 "
12582,"$106,842 ","6,272",490.9,"1,483","$368,400 "
12583,"$77,083 ","2,465",189.3,"1,083","$298,800 "
12585,"$82,557 ",870,176.7,371,"$370,200 "
12586,"$74,849 ","12,129",511.5,"4,603","$217,200 "
12589,"$79,982 ","17,017",293.2,"5,178","$247,900 "
12590,"$88,982 ","34,711","1,007.40","14,053","$284,300 "
12592,"$53,728 ","1,243",66.3,678,"$253,000 "
12594,"$69,792 ","4,357",181,"1,786","$248,600 "
12601,"$45,903 ","41,539","2,208.40","17,955","$209,100 "
12603,"$83,636 ","42,589","1,317.90","16,869","$251,700 "
12701,"$37,903 ","11,626",202.2,"6,469","$126,600 "
12719,"$63,750 ","1,284",74.5,798,"$204,300 "
12721,"$71,953 ","6,394",252.2,"2,689","$233,100 "
12723,"$54,333 ","1,561",49.3,"1,207","$163,400 "
12725,"$83,750 ",130,1.9,282,"$162,500 "
12726,"$62,426 ","1,266",43.2,"1,004","$201,400 "
12729,"$46,192 ","1,791",80.7,850,"$132,800 "
12732,"$44,318 ",689,27.5,622,"$167,900 "
12733,"$31,422 ","1,642",322.4,"1,126","$152,000 "
12734,"$56,313 ",903,65.6,637,"$161,100 "
12737,"$78,967 ","1,782",49.8,"1,295","$193,900 "
12738,"$61,645 ",328,50,192,"$206,600 "
12740,"$70,517 ","1,958",26.3,"1,198","$227,300 "
12741,"$59,375 ",175,21.2,229,"$117,500 "
12742,"$31,167 ",90,41.8,100,"$297,500 "
12743,"$60,962 ",413,50.4,331,"$241,700 "
12745,"$37,875 ",143,89,158,"$180,300 "
12746,"$81,563 ","1,004",70.8,504,"$198,500 "
12747,"$55,114 ","1,992",142.8,942,"$128,900 "
12748,"$73,750 ","2,160",98.5,"1,343","$184,700 "
12750,"$79,712 ",417,98,115,"$262,500 "
12751,"$50,185 ",926,271,499,"$154,700 "
12752,"$41,202 ",251,144.9,240,"$169,300 "
12754,"$45,630 ","6,608",248.7,"3,322","$124,700 "
12758,"$60,368 ","3,908",25.6,"3,180","$159,700 "
12759,"$25,781 ","2,000",323.3,"1,381","$76,300 "
12760,"$58,375 ",416,9.8,456,"$155,800 "
12764,"$46,488 ","1,583",26.6,"1,410","$189,700 "
12765,"$88,721 ","1,095",87.6,419,"$231,100 "
12766,"$61,786 ",452,56.2,315,"$165,500 "
12767,"$74,688 ",136,46,108,"$150,800 "
12768,"$71,083 ",794,22.8,962,"$156,000 "
12771,"$51,829 ","14,757",426.1,"6,842","$180,500 "
12775,"$100,714 ","1,986",189.5,"1,550","$225,900 "
12776,"$55,398 ","2,214",20.2,"2,177","$178,700 "
12777,"$84,500 ",850,16.1,572,"$237,200 "
12779,"$32,077 ","1,959",228.2,"1,592","$231,900 "
12780,"$46,250 ","2,097",88,"1,054","$169,700 "
12783,"$69,943 ","1,992",59.9,"1,229","$164,000 "
12785,"$84,728 ","1,119",67.1,550,"$181,900 "
12787,"$95,313 ",377,107.4,219,"$125,700 "
12788,"$65,060 ","2,717",115.6,"1,392","$144,800 "
12789,"$47,028 ","1,952",203.5,"1,769","$115,400 "
12790,"$68,611 ","3,956",89.1,"2,745","$168,100 "
12791,"$74,250 ",485,74,431,"$168,600 "
12792,"$38,125 ",205,60.4,232,"$206,300 "
12801,"$48,485 ","14,381","3,642.10","7,285","$151,400 "
12803,"$61,643 ","8,525","1,440.40","3,829","$178,600 "
12804,"$74,272 ","26,272",494.7,"12,055","$222,500 "
12808,"$64,792 ",328,14.8,618,"$280,800 "
12809,"$54,693 ","3,493",69,"1,868","$151,000 "
12810,"$58,125 ",747,11.2,430,"$117,900 "
12812,"$70,750 ",104,1.7,308,"$151,300 "
12814,"$49,602 ","1,354",29.8,"1,728","$310,300 "
12815,"$64,563 ","1,072",29.2,"1,163","$220,200 "
12816,"$51,480 ","4,269",67.6,"2,512","$166,000 "
12817,"$62,031 ","2,119",39.6,"2,116","$190,800 "
12819,"$59,464 ",323,11.1,256,"$128,800 "
12821,"$82,802 ","2,766",498.5,125,"$137,500 "
12822,"$57,413 ","6,123",93,"2,912","$155,700 "
12824,"$76,161 ",970,64,"1,056","$287,900 "
12827,"$65,284 ","3,665",29.7,"1,781","$154,900 "
12828,"$53,102 ","8,546",184.5,"3,991","$141,500 "
12831,"$83,358 ","17,228",256.4,"6,452","$238,600 "
12832,"$45,423 ","6,569",81.7,"3,372","$118,900 "
12833,"$81,350 ","4,182",118.7,"1,918","$240,700 "
12834,"$75,060 ","6,286",72.5,"2,773","$194,500 "
12835,"$56,083 ","2,328",23.9,"2,997","$181,700 "
12836,"$65,781 ",698,15.9,727,"$298,500 "
12837,"$59,167 ","1,059",71.6,425,"$107,900 "
12838,"$64,375 ",530,104.3,278,"$169,600 "
12839,"$47,826 ","13,265",407.6,"6,139","$131,600 "
12841,"$81,250 ",107,6.3,319,"$625,000 "
12842,"$55,700 ",811,4.3,"1,545","$117,000 "
12843,"$32,813 ",420,7.1,487,"$125,000 "
12845,"$60,208 ","4,647",104.9,"3,743","$253,200 "
12846,"$55,694 ","3,243",55.8,"2,129","$169,700 "
12847,"$59,375 ",413,0.9,"1,376","$237,500 "
12850,"$86,429 ","3,204",68.5,"1,496","$243,600 "
12851,"$49,583 ",368,3.3,401,"$108,900 "
12852,"$50,000 ",428,3.5,709,"$162,500 "
12853,"$45,625 ","1,577",18.1,"1,262","$162,300 "
12855,"$41,500 ",242,1.3,314,"$121,900 "
12856,"$50,952 ",137,2.2,275,"$157,500 "
12857,"$61,042 ",629,14.7,528,"$160,000 "
12858,"$100,625 ",113,11.5,354,"$487,500 "
12859,"$71,354 ","2,489",113,952,"$199,800 "
12860,"$67,292 ",597,37.1,596,"$139,600 "
12861,"$50,625 ",612,18.7,690,"$163,000 "
12863,"$102,727 ",729,203,248,"$282,300 "
12865,"$54,009 ","3,688",51,"2,004","$138,300 "
12866,"$80,151 ","39,178",584.6,"19,951","$340,100 "
12870,"$50,526 ","1,576",14.7,"1,906","$211,100 "
12871,"$72,125 ","4,492",151,"1,789","$176,000 "
12873,"$62,679 ",856,40.5,438,"$182,700 "
12874,"$76,250 ",153,7.1,391,"$516,700 "
12878,"$55,694 ",621,7.3,589,"$137,500 "
12883,"$48,396 ","4,885",61.2,"2,777","$120,300 "
12884,"$58,036 ",539,"1,082.10",256,"$127,000 "
12885,"$46,280 ","4,432",61.7,"2,721","$150,300 "
12887,"$54,231 ","4,919",58.8,"2,128","$110,200 "
12901,"$48,883 ","32,846",432.4,"14,872","$141,500 "
12903,"$63,942 ","1,215","2,103.00",742,"$141,300 "
12910,"$49,844 ","2,006",30.9,724,"$83,000 "
12912,"$59,261 ","2,119",23.5,"1,155","$115,700 "
12913,"$60,917 ","1,162",42.8,743,"$162,300 "
12914,"$46,875 ",902,28.3,447,"$72,400 "
12916,"$59,758 ","2,056",49.6,"1,005","$111,000 "
12917,"$52,500 ","1,332",30.9,618,"$105,300 "
12918,"$63,648 ","2,208",56.5,"1,047","$139,400 "
12919,"$50,634 ","3,121",81.4,"1,371","$103,700 "
12920,"$53,462 ","2,339",25.2,"1,518","$89,400 "
12921,"$82,056 ","2,464",74.2,"1,127","$142,600 "
12923,"$50,750 ",589,11.2,331,"$75,800 "
12926,"$50,729 ","2,192",45.2,"1,121","$85,900 "
12927,"$50,227 ",262,2.4,610,"$96,700 "
12928,"$55,521 ","1,858",24.6,"1,159","$130,600 "
12929,"$50,962 ","3,916","3,288.80",379,"$103,100 "
12930,"$58,472 ",756,20.9,377,"$92,900 "
12932,"$53,487 ","1,194",18.7,779,"$173,600 "
12934,"$52,778 ",967,16.4,420,"$94,400 "
12935,"$54,583 ","1,651",16.7,908,"$128,100 "
12936,"$62,500 ",409,13.3,514,"$221,100 "
12937,"$45,880 ","2,045",62.5,832,"$82,600 "
12939,"$58,438 ",211,51,124,"$106,300 "
12941,"$65,236 ","1,345",33.2,"1,050","$160,900 "
12942,"$69,904 ",846,16,711,"$273,900 "
12943,"$37,750 ",373,3.6,584,"$217,700 "
12944,"$51,176 ","4,100",45.5,"2,190","$105,900 "
12945,"$64,773 ",581,17.5,634,"$178,100 "
12946,"$63,770 ","4,790",37,"3,610","$258,500 "
12950,"$66,136 ",735,15.6,403,"$100,000 "
12953,"$49,206 ","15,569",74,"5,572","$98,700 "
12955,"$65,625 ",381,12.4,375,"$96,000 "
12956,"$59,757 ","1,370",152,557,"$78,600 "
12957,"$41,287 ","1,899",59.4,835,"$85,400 "
12958,"$61,114 ","2,362",63.7,"1,147","$116,200 "
12959,"$29,886 ","1,108",28.7,640,"$89,400 "
12960,"$81,758 ","1,099",36.1,547,"$136,400 "
12962,"$75,245 ","5,831",135,"2,427","$153,000 "
12965,"$41,250 ",596,62.5,242,"$79,000 "
12966,"$48,750 ","2,685",31.2,"1,281","$76,900 "
12967,"$45,508 ","1,186",31.5,500,"$63,100 "
12969,"$39,688 ",410,4.2,606,"$92,400 "
12970,"$56,250 ",984,19.6,324,"$185,600 "
12972,"$69,332 ","6,034",72.9,"2,568","$157,600 "
12973,"$46,250 ",86,2.4,108,"$85,900 "
12974,"$53,594 ","1,602",199.3,856,"$103,300 "
12975,"$53,563 ",264,92.6,176,"$172,600 "
12976,"$76,250 ",213,5.6,223,"$235,900 "
12979,"$58,646 ","2,223",653.8,"1,144","$141,500 "
12980,"$41,944 ","1,276",5,"1,299","$67,200 "
12981,"$66,542 ","2,301",21.7,"1,206","$111,600 "
12983,"$54,478 ","7,371",35,"4,941","$178,100 "
12985,"$41,289 ","1,277",23.1,613,"$103,300 "
12986,"$56,402 ","6,071",26.8,"3,915","$119,800 "
12987,"$51,979 ",198,31.9,113,"$161,700 "
12989,"$69,479 ","1,024",6.9,817,"$180,600 "
12992,"$54,460 ","4,517",71.1,"2,235","$118,800 "
12993,"$49,688 ","1,387",19.2,"1,251","$157,600 "
12996,"$63,594 ","2,079",40.9,"1,706","$141,000 "
12997,"$60,547 ","1,199",18.4,857,"$227,000 "
13020,"$75,750 ",110,235.2,47,"$116,700 "
13021,"$51,709 ","38,114",317.1,"18,779","$127,000 "
13026,"$67,992 ","1,734",61.6,865,"$169,100 "
13027,"$75,301 ","32,949",484.2,"14,603","$157,700 "
13029,"$67,568 ","7,243",408.5,"3,165","$168,100 "
13030,"$63,393 ","4,057",304.6,"1,822","$130,900 "
13031,"$72,703 ","15,451",635.7,"6,510","$155,500 "
13032,"$59,087 ","12,057",147.9,"5,840","$124,800 "
13033,"$66,887 ","3,801",61.7,"1,651","$119,800 "
13034,"$68,611 ","1,987",81.8,"1,101","$136,400 "
