zipcode,name,place_id,price_level,rating,user_ratings_total,searched_keyword,searched_zipcode,location_lat,location_lng,compound_code,global_code,art_gallery,atm,bakery,bar,beauty_salon,bicycle_store,book_store,cafe,car_dealer,car_repair,car_wash,clothing_store,convenience_store,department_store,drugstore,electronics_store,establishment,finance,florist,food,funeral_home,furniture_store,gas_station,general_contractor,grocery_or_supermarket,hair_care,hardware_store,health,home_goods_store,jewelry_store,laundry,liquor_store,local_government_office,locksmith,lodging,meal_delivery,meal_takeaway,movie_rental,night_club,park,parking,pet_store,pharmacy,point_of_interest,premise,restaurant,school,shoe_store,shopping_mall,spa,storage,store,supermarket,tourist_attraction,travel_agency,population,population_density_square_miles,housing_units,home_price_to_income_ratios,price_level*rating,avg_price_level_by_zipcode,avg_rating_by_zipcode,avg_user_ratings_total_by_zipcode,total_number_of_bars_by_zipcode,total_number_of_cafes_by_zipcode,user_ratings_total_per_capita,rating_weighed_population_density,open_now_False,open_now_True,open_now_nan
10468,Kingsbridge Coffee Shop,ChIJg03sPoTzwokRZ0bd2e2Tl2s,,4.2,110,coffee shops,10458,40.867331400000005,-73.89658929999999,"V483+W9 The Bronx, New York",87G8V483+W9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,78647,73450.8,27515,5.382011873716917,,1.4230769230769231,4.0,328.3695652173913,1,7,0.0013986547484328708,308493.36000000004,1,0,0
10461,Dunkin',ChIJLXXCVvyLwokRPQRLbkdHHaQ,,0.0,0,coffee shops,10461,40.836273999999996,-73.83892860000002,"R5P6+GC The Bronx, New York",87G8R5P6+GC,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,50348,21026.2,20277,7.968275277326362,,1.6341463414634145,4.013559322033898,312.0508474576271,2,19,0.0,0.0,0,1,0
10459,Happy Wok,ChIJMfQ5g1f0wokR-SczyQiasAs,1.0,4.1,94,restaurant,10459,40.83031679999999,-73.89159599999998,"R4J5+49 The Bronx, New York",87G8R4J5+49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,48351,58950.1,17792,14.064362336114426,4.1,1.3181818181818181,3.9955555555555553,107.91111111111111,0,6,0.001944116977932204,241695.40999999997,0,1,0
11357,Whitestone Corner Store Inc,ChIJgxdx-JqKwokRkIjib58UtNQ,,0.0,0,stores,11357,40.777758399999996,-73.80937390000001,Q5HR+47 New York,87G8Q5HR+47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,39902,14196.3,15973,8.086860192255006,,1.68,4.164444444444445,153.4,2,10,0.0,0.0,0,0,1
10451,Dunkin',ChIJrf3rJkv0wokRb7j3zRfmwOM,1.0,3.9,294,coffee shops,10451,40.8244533,-73.9091968,"R3FR+Q8 The Bronx, New York",87G8R3FR+Q8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,47798,46447.4,19884,4.688634556204834,3.9,1.4166666666666667,3.9301886792452843,384.0188679245283,6,15,0.006150884974266706,181144.86000000002,0,1,0
10024,Bustan NYC,ChIJk_8RzIVYwokR99bOICh18j8,2.0,4.4,275,restaurant,10024,40.785899799999996,-73.97595199999998,Q2PF+9J New York,87G8Q2PF+9J,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,59001,68752.4,34032,11.699881520187136,8.8,2.0,4.110526315789473,408.1578947368421,13,18,0.004660937950204233,302510.56,0,1,0
11228,Dunkin',ChIJpcKcmWpFwokRfcRyTae_mIE,1.0,3.7,131,coffee shops,11219,40.6197321,-74.00830400000001,"JX9R+VM Brooklyn, New York",87G7JX9R+VM,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,44994,30556.6,16476,12.731368997658699,3.7,1.4761904761904763,4.055555555555557,136.46666666666667,1,6,0.002911499311019247,113059.42,0,1,0
10065,Tiella,ChIJGavSwOdYwokRDp8400Ek-xU,2.0,4.4,91,restaurant,10065,40.760788700000006,-73.96136209999999,Q26Q+8F New York,87G8Q26Q+8F,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,28109,73936.2,21156,12.15701668302257,8.8,2.1956521739130435,4.100000000000001,252.81034482758622,9,15,0.003237397274894162,325319.28,0,1,0
11211,Apple Williamsburg,ChIJlQyUm2BZwokRQ5dwN5ZGtWk,3.0,4.2,1315,stores,11211,40.7155589,-73.95986440000001,"P28R+63 Brooklyn, New York",87G8P28R+63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,102624,44382.0,42322,14.080730080730081,12.600000000000001,1.8055555555555556,4.371186440677967,245.20338983050848,11,19,0.012813766760212036,186404.4,0,1,0
11213,Ah Yah Suh Nice,ChIJIYLbI31cwokRraRW-u8dAwQ,,4.7,28,restaurant,11213,40.6699251,-73.92560569999998,"M39F+XQ Brooklyn, New York",87G8M39F+XQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,66295,60798.8,27467,18.61184368257013,,1.3181818181818181,4.186956521739131,213.1304347826087,1,7,0.0004223546270457802,285754.36000000004,0,1,0
